ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_MeanRadius,AreaShape_MedianRadius,Children_Oospores_dual_Count,Children_Oospores_green_Count,Children_Oospores_red_Count,Children_Oospores_unstained_Count,Intensity_IntegratedIntensity_FITC,Intensity_IntegratedIntensity_T_Red,Intensity_LowerQuartileIntensity_FITC,Intensity_LowerQuartileIntensity_T_Red,Intensity_MaxIntensity_FITC,Intensity_MaxIntensity_T_Red,Intensity_MeanIntensity_FITC,Intensity_MeanIntensity_T_Red,Intensity_MedianIntensity_FITC,Intensity_MedianIntensity_T_Red,Intensity_MinIntensity_FITC,Intensity_MinIntensity_T_Red,Intensity_StdIntensity_FITC,Intensity_StdIntensity_T_Red,Intensity_UpperQuartileIntensity_FITC,Intensity_UpperQuartileIntensity_T_Red,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
20,1,115,2.1637969612957653,2.0,0,0,0,1,1.4891126977745444,1.0529793354216963,0.00973144150339067,0.005607690545730293,0.023147936910390854,0.05259784683585167,0.012948806067604733,0.009156342047145185,0.013733119703829288,0.009452964179217815,0.0,0.0,0.005432332102187408,0.0064665871412570896,0.01769283600151539,0.012050812831148505,1304.4173913043478,16.547826086956523,0,1
20,2,76,1.9071895191399495,1.7071067811865475,0,0,0,1,1.132326245540753,0.5819638408720493,0.010818646289408207,0.0030670634005218744,0.02719157747924328,0.01930266246199608,0.014899029546588855,0.007657418958842754,0.016510261222720146,0.0076905470341444016,0.0,0.0,0.007579677032980081,0.005553690672356928,0.021576257422566414,0.012420844286680222,724.8026315789474,23.355263157894736,0,2
20,3,72,1.9347625175175875,2.0,0,0,0,1,1.1330891950055957,0.6171206247527152,0.010864423587918282,0.0018616006709635258,0.02365148440003395,0.022751200944185257,0.015737349930633273,0.008571119788232155,0.01756313443183899,0.007019150070846081,0.0005188067443668842,0.0,0.006234941397899894,0.0071312216288745844,0.021393148228526115,0.015335316769778728,469.2638888888889,27.180555555555557,0,3
20,4,78,1.9641983928720692,2.0,0,0,0,1,1.5154955484904349,1.0959639940410852,0.012321660295128822,0.004798962501809001,0.0320134274661541,0.031006332486867905,0.01942943010885173,0.01405082043642417,0.021728847175836563,0.015014877542853355,0.002166781108826399,0.0,0.008376325047762154,0.009494581892780291,0.02617685217410326,0.022293430753052235,120.57692307692308,27.871794871794872,0,4
20,5,75,1.7612218504324453,1.4142135623730951,0,0,0,1,0.9409475906286389,0.666330975946039,0.006446936982683837,0.002327000838704407,0.026474403217434883,0.0319981686770916,0.012545967875048518,0.008884413012613853,0.013763638213276863,0.008903639391064644,0.00079346913844347,0.0,0.007143010911643496,0.007575287496262957,0.01828793715685606,0.012493324466049671,127.86666666666666,61.18666666666667,0,5
20,6,88,2.1670383572370238,2.0,0,0,0,1,1.0352025725878775,1.0181887615472078,0.008560311049222946,0.0045929658226668835,0.018554970622062683,0.027985045686364174,0.011763665597589517,0.011570326835763726,0.013229572214186192,0.013046463951468468,0.0,0.0,0.005048477333758525,0.0077133475921088894,0.01573205180466175,0.018463416025042534,1160.409090909091,63.42045454545455,0,6
20,7,68,1.947465804364945,2.0,0,0,0,1,1.0609292809385806,0.6439612512476742,0.011352712288498878,0.0041199359111487865,0.02827496826648712,0.0236057061702013,0.015601901190273245,0.009470018400701092,0.01722743548452854,0.009124895557761192,0.00010681315325200558,0.0,0.007171441635001993,0.006672527197678941,0.021042190492153168,0.014221408404409885,843.25,89.83823529411765,0,7
20,8,89,2.1228814764147512,2.0,0,0,1,0,1.6617837811354548,4.584100087173283,0.004257267341017723,0.01312275929376483,0.0480811782181263,0.12462043017148972,0.01867172787792646,0.0515067425525088,0.012512397952377796,0.04281681589782238,0.0009155413135886192,0.0,0.015783708184277087,0.042522918450534755,0.03538185637444258,0.09342717565596104,467.4943820224719,93.32584269662921,0,8
20,9,71,1.9355204231809418,2.0,0,0,0,1,1.2706035000737756,1.4573891800828278,0.007255665143020451,0.005703059607185423,0.035889219492673874,0.04438849538564682,0.017895823944701066,0.020526608170180673,0.01888304017484188,0.020675974898040295,0.0003662165254354477,0.0,0.011379988449365967,0.014762521582165348,0.028904401697218418,0.03551155887544155,146.54929577464787,104.84507042253522,0,9
20,10,92,2.0870016878863678,2.0,0,0,0,1,2.786709397099912,1.6195010365918279,0.02217135950922966,0.004959182348102331,0.04406805709004402,0.042252231389284134,0.0302903195336947,0.017603272136867694,0.035568781197071075,0.01603723131120205,0.0016021972987800837,0.0,0.011571899922058124,0.013311276141721458,0.039078354835510254,0.0321660190820694,343.0,143.77173913043478,0,10
20,11,80,2.050093938402159,2.0,0,0,0,1,2.3289540074765682,1.3546501924283803,0.01919584907591343,0.00254825665615499,0.045349813997745514,0.03956664353609085,0.029111925093457103,0.016933127405354752,0.03375295549631119,0.0156557559967041,0.0025329976342618465,0.0,0.012349367688757383,0.014171035038409018,0.03961241990327835,0.0321049839258194,331.375,143.375,0,11
20,12,87,1.8041561292942057,1.4142135623730951,0,0,0,1,2.0570687572471797,3.315846535610035,0.010177768068388104,0.01875333860516548,0.05711451917886734,0.08827344328165054,0.023644468474105514,0.03811317857023029,0.02053101360797882,0.03192187286913395,0.001632715342566371,0.0,0.015225168610501126,0.02549992081203306,0.03863584250211716,0.05929655767977238,127.42528735632185,145.68965517241378,0,12
20,13,108,2.0994779999761186,2.0,0,0,0,1,2.083054871764034,1.899702453520149,0.009964141063392162,0.0032806897070258856,0.03515678644180298,0.04443427175283432,0.019287545108926243,0.017589837532593973,0.02244602143764496,0.013870450668036938,0.0,0.0,0.010599994425777377,0.014967642900083605,0.02879377454519272,0.03311207890510559,706.6296296296297,196.65740740740742,0,13
20,14,68,1.9268625479803054,2.0,0,0,0,1,1.0608377298340201,1.4361638841219246,0.008148318156599998,0.0045929658226668835,0.02835126221179962,0.04133668914437294,0.015600554850500296,0.021120057119440067,0.018066681921482086,0.023163195699453354,0.0002899214159697294,0.0,0.008795318296478364,0.014963604122731625,0.0235141534358263,0.03619439899921417,898.9411764705883,264.7352941176471,0,14
